beer_name,brewery,style,abv,ibu,comment,brewery_city,brewery_state
Lunch Break ISA,Breakside Brewery,IPA - Session / India Session Ale,4.7,28,Solid session,Portland,OR
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,,Portland,OR
Stout,Breakside Brewery,Stout - Foreign / Export,7,40,,Portland,OR
Vienna Coffee OG Cold Brew,Breakside Brewery,Lager - Pale,6.1,30,Non-Porter coffee beers are funky,Portland,OR
Last Roman,Breakside Brewery,Strong Ale - American,5.2,27,They say it's jammy and I agree,Portland,OR
Rye Curious?,Breakside Brewery,Red Ale - American Amber / Red,5.7,15,,Portland,OR
Apocalypse IPA,10 Barrel Brewing Company,IPA - American,6.8,70,,Bend,OR
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,,San Diego,CA
He-Man Imperial Stout,Arch Rock Brewing Company,Stout - Imperial / Double,9.5,0,,Gold Beach,OR
Black Marlin Porter,Ballast Point Brewing & Spirits,Porter - American,6,42,,San Diego,CA
Peppermint Victory At Sea,Ballast Point Brewing & Spirits,Porter - Imperial / Double,10,60,,San Diego,CA
Cold Press Coffee Porter,Everybody's Brewing,Porter - American,5.4,45,"Good, but there are better coffee porters out there",White Salmon,WA
Cranny Granny,D's Wicked Cider,Cider,6.5,0,,Kennewick,WA
Watermelon Dorado,Ballast Point Brewing & Spirits,IPA - Imperial / Double,10,90,Funky but good.  Big hoppy taste up front with watermelon end notes.,San Diego,CA
IPA,Pfriem Family Brewers,IPA - American,7.2,65,"Wow, this is an excellent IPA.  Gonna have to look into more from this brewery.",Hood River,OR
Mango Even Keel,Ballast Point Brewing & Spirits,IPA - Session / India Session Ale,3.8,40,By far the best beer I have ever had under 4% ABV.  Really nice mango flavor.  The transition to the mango finish is a little funky though.,San Diego,CA
IPA,Caldera Brewing Company,IPA - American,6.1,94,,Ashland,OR
Stone Delicious IPA,Stone Brewing,IPA - American,7.7,80,,Escondido,CA
Racer 5 IPA®,Bear Republic Brewing Co.,IPA - American,7.5,75,Tasty,Healdsburg,CA
Wrath,Reverend Nat's Hard Cider,Cider,8.5,0,This is not good.  Spicy booze.  Gross.,Portland,OR
2015 Stone CHAI-SPICED Imperial Russian Stout,Stone Brewing,Stout - Russian Imperial,10.6,65,"Ew, what is that flavor at the end?",Escondido,CA
Anthem Hops,Wandering Aengus Ciderworks,Cider,5.5,10,,Salem,OR
Pumpkin Spice,Seattle Cider Company,Cider,6.9,0,Yummy,Seattle,WA
Sour Cherry,Red Tank Cider ,Cider,5.4,0,,Bend,OR
Anthem Pear,Wandering Aengus Ciderworks,Perry,5.5,0,,Salem,OR
Brown Ale,Kirkland Signature,Brown Ale - English,5,23,,San Jose,CA
Dark Hyde,10 Barrel Brewing Company,IPA - Imperial / Double Black,7.3,89,Great smooth CDA.,Bend,OR
Double Stuff Stout,10 Barrel Brewing Company,Stout - Milk / Sweet,6.5,28,Chocolatey goodness,Bend,OR
Prohibition Pauly Porter,Fat Head's Brewery,Porter - American,5.8,0,,North Olmsted,OH
Lux,Ninkasi Brewing Company,Lager - Helles,5,20,,Eugene,OR
Hop Heaven,Columbia River Brewing ,IPA - American,7.5,78,,Portland,OR
Boom Boom Espresso Stout,Columbia River Brewing ,Stout - American,7,34,,Portland,OR
Paddler's Porter,Columbia River Brewing ,Porter - Baltic,8.5,37,,Portland,OR
War Elephant,Columbia River Brewing ,IPA - Imperial / Double,8.5,85,,Portland,OR
Stumblers Stout,Columbia River Brewing ,Stout - Oatmeal,6.5,34,,Portland,OR
Confluence IPA,Columbia River Brewing ,IPA - American,7.2,71,,Portland,OR
Barrel Aged Stout,Columbia River Brewing ,Stout - American,7,34,,Portland,OR
CRB Pale,Columbia River Brewing ,Pale Ale - American,6.7,52,,Portland,OR
Sandy Blonde,Columbia River Brewing ,Blonde Ale,6,24,,Portland,OR
Heady Topper,The Alchemist,IPA - Imperial / Double,8,100,"Wow, that's the best IPA I think I will ever have.  I guess that's why it is always rated in the top 5 in the world.",Waterbury,VT
Organic Portland Roast Espresso Stout,Laurelwood Brewing Co.,Stout - American,6.4,30,Roasty and delicious,Portland,OR
Spring Reign,Ninkasi Brewing Company,Pale Ale - American,6,38,Meh,Eugene,OR
Hoppy Blonde,New Belgium Brewing Company,Blonde Ale,5.7,45,,Fort Collins,CO
Skunkape IRA,Boneyard Beer Company,Red Ale - American Amber / Red,6.2,40,,Bend,OR
Passion Fruit Cider,Portland Cider Company,Cider,6.7,0,,Clackamas,OR
Well Red IRA,Ex Novo Brewing,Red Ale - Imperial / Double,7.1,60,Big hops with subtle malty red,Portland,OR
The Loving Cup,Coalition Brewing Co.,Porter - Other,5.8,32,Lacking flavor,Portland,OR
Moonlight Ride Blackberry,Rusty Truck Brewing,Fruit Beer,5.3,20,,Lincoln City,OR
Barmy Ale,Ballast Point Brewing & Spirits,Fruit Beer,12,23,Too much fake fruity flavor up front,San Diego,CA
Sextant,Ballast Point Brewing & Spirits,Stout - Oatmeal,6,24,Creamy and great on nitro,San Diego,CA
Hard Orange Cream Ale,Coney Island Brewing Company,Cream Ale,5,0,A little too sweet but excellent idea,Brooklyn,NY
Viking Blod,Dansk Mjød,Mead,19,0,,Billund,
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,10.5,40,,Chicago,IL
Salted Caramel Porter,Cascade Lakes Brewing Company,Porter - Other,5.8,37,,Redmond,OR
Midnight Black Gose,Ex Novo Brewing,Gose,5,8,,Portland,OR
IBUsive,Fat Head's Brewery,IPA - American,7.4,80,,North Olmsted,OH
Sharp Cherry,Jester & Judge,Cider,5.8,0,,Stevenson,WA
Two Hearted Ale,Bell's Brewery,IPA - American,7,0,,Galesburg,MI
Quilmes Cristal,Cervecería y Maltería Quilmes,Lager - North American Adjunct,4.9,0,,Quilmes,Buenos Aires
Lager ,Omission Beer,Gluten-Free,4.6,20,,Portland,OR
20th Anniversary Encore Series: Stone 6th Anniversary Porter,Stone Brewing,Smoked Beer,8,60,Big time smokiness,Escondido,CA
Conifer Ipa,Waltz Brewing,IPA - American,6.2,0,IPA season is here!,Forest Grove,OR
BrightCider,2 Towns Ciderhouse,Cider,6,0,,Corvallis,OR
Sorta Sweet,Portland Cider Company,Cider,4.5,0,Stellar,Clackamas,OR
Rosen' Berry,Fox-Tail Cider,Cider,6.4,0,,Hood River,OR
Hard Apple Cider,Atlas Cider Company,Cider,5.8,0,,Bend,OR
Heavy Melon,New Belgium Brewing Company,Fruit Beer,5,14,Not terrible but really lacking on fruit flavor,Fort Collins,CO
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,In a bomber,Portland,OR
Blue Paddle,New Belgium Brewing Company,Pilsner - Czech,4.8,33,Pretty good for a pilsener,Fort Collins,CO
Ace Apple Honey Cider,Ace Cider (The California Cider Company),Cider,5,0,,Sebastopol,CA
Eliot IPA,Ex Novo Brewing,IPA - American,6.6,50,Solid,Portland,OR
Vader Black IPA,Gilgamesh Brewing,IPA - Black / Cascadian Dark Ale,6.4,60,"A little weird with the coffee addition, but not pretty good for a funky mix",Salem,OR
Cosmic Ristretto,Green Flash Brewing Company,Porter - Baltic,8.2,45,Roasty with bold coffee taste and a subtle nutty flavor,San Diego,CA
Supplication,Russian River Brewing Company,American Wild Ale,7.75,0,Excellent sour,Santa Rosa,CA
Mamba,Gilgamesh Brewing,Herbed / Spiced Beer,6.3,0,Weird tea and herbal flavors but kinda good,Salem,OR
Pinnapple Express,Jester & Judge,Cider,5.6,0,Even better than the one from Ace!  Not too sweet. Just right.,Stevenson,WA
Romantic Chemistry,Dogfish Head Craft Brewery,IPA - American,7.2,40,,Milton,DE
